# Bankcode → BIC für IBAN-Länder, deren Bankcode NICHT im BIC steckt (anders als NL).
# Format: Land;Bankcode;BIC;Bankname   — Bankcode ohne führende Nullen.
#
# Diese Datei enthält nur Quellen, deren Bedingungen die Weitergabe erlauben:
#
#   AT  Oesterreichische Nationalbank — SEPA-Zahlungsverkehrsverzeichnis
#       https://www.oenb.at/docroot/downloads_observ/sepa-zv-vz_gesamt.csv
#       © OeNB, Lizenz CC BY 4.0 (IWG 2022) — Weitergabe und Bearbeitung erlaubt,
#       auch kommerziell, unter Namensnennung.
#
#   BE  Nationale Bank van België / Banque nationale de Belgique
#       https://www.nbb.be/doc/be/be/protocol/full_list_current.xlsx
#       © NBB — "This information may be distributed, provided it is accurately
#       presented and the NBB is cited as the source."
#
# CH und LU liegen NICHT bei: SIX Interbank Clearing untersagt die Weitergabe
# ("may not be reproduced or reused in any way"), die ABBL erlaubt nur die
# unveränderte Nutzung. Beide holt bin/update-bankcodes.php lokal nach —
# das Ergebnis landet in iban-bankcode-bic.local.csv (nicht im Repository).
AT;19150;KTBKATWWXXX;Kathrein Privatbank Aktiengesellschaft
AT;19160;WIPBATWWXXX;Wiener Privatbank SE
AT;19170;PABAAT2LXXX;PARTNER BANK AKTIENGESELLSCHAFT
AT;19190;BSSWATWWXXX;Schelhammer Capital Bank AG
AT;19200;SCHOATWWXXX;Schoellerbank Aktiengesellschaft
AT;19210;SPBAATWWB99;bank99 AG
AT;19220;WISMATWWXXX;Bank Winter & Co. AG
AT;19250;DIRAAT2SXXX;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft
AT;19360;INGBATWWXXX;ING Austria Branch of ING Bank N.V.
AT;19380;DENEATW1XXX;Bankhaus Denzel Aktiengesellschaft
AT;19390;BMASAT21XXX;BMW Austria Bank GmbH
AT;19420;RCNOATW1XXX;RCI Banque SA, Niederlassung Österreich
AT;19440;WIPBATWWXXX;Wiener Privatbank SE
AT;19450;COPRATWWXXX;Liechtensteinische Landesbank (Österreich) AG
AT;19460;BLFLATWWXXX;LGT Bank AG, Zweigniederlassung Österreich
AT;19480;BIIWATWWXXX;flatexDEGIRO Bank SE
AT;19510;COPRATWWXXX;Liechtensteinische Landesbank (Österreich) AG
AT;19515;OPBAATW2XXX;Stellantis Bank SA Niederlassung Österreich
AT;19520;STSPAT2GXXX;Steiermärkische Bank und Sparkassen Aktiengesellschaft
AT;19530;SPAEAT2SXXX;Bankhaus Carl Spängler & Co. Aktiengesellschaft
AT;19540;BKCHATWWXXX;Bank of China (Central and Eastern Europe) Limited Vienna Branch
AT;19600;BSSWATWWXXX;Schelhammer Capital Bank AG
AT;19650;ESBKATWWXXX;DenizBank AG
AT;19660;INVOATWWXXX;Kommunalkredit Austria AG
AT;19675;COBAATWXXXX;Commerzbank AG Niederlassung Wien
AT;19690;TVBAATWWXXX;VakifBank International AG
AT;19810;SANTATWWXXX;Santander Consumer Bank GmbH
AT;19825;WUSNATWWXXX;Wüstenrot Bank AG
AT;19880;WUIBATWWXXX;Western Union International Bank GmbH
AT;19888;ICBKATWWXXX;ICBC Austria Bank GmbH
AT;19930;CENBATWWXXX;Raiffeisen Digital Bank AG
AT;19931;CENBATWWRDB;Raiffeisen Digital Bank AG
AT;19950;WUBUAT2SXXX;Bausparkasse Wüstenrot Aktiengesellschaft
AT;19970;BRASATWWXXX;Banco do Brasil Aktiengesellschaft
AT;20100;GIBAATWGXXX;Erste Group Bank AG
AT;20111;GIBAATWWXXX;Erste Bank der oesterreichischen Sparkassen AG
AT;20112;GIBAAT21XXX;Die Zweite Wiener Vereins-Sparcasse
AT;20202;SPAMAT21XXX;Sparkasse der Stadt Amstetten AG
AT;20205;SPBDAT21XXX;Sparkasse Baden
AT;20216;SPHBAT21XXX;Sparkasse Hainburg-Bruck-Neusiedl Aktiengesellschaft
AT;20218;SPHAAT21XXX;Sparkasse Haugsdorf AG
AT;20219;SPHEAT21XXX;Sparkasse Herzogenburg-Neulengbach Bank Aktiengesellschaft
AT;20221;SPHNAT21XXX;Sparkasse Horn-Ravelsbach-Kirchberg Aktiengesellschaft
AT;20225;SPBDAT21XXX;Sparkasse Baden
AT;20227;SSKOAT21XXX;Sparkasse Korneuburg AG
AT;20228;SPKDAT21XXX;KREMSER BANK UND SPARKASSEN AKTIENGESELLSCHAFT
AT;20230;SPLSAT21XXX;Sparkasse Langenlois
AT;20241;SPNGAT21XXX;Sparkasse Neunkirchen
AT;20245;SPPOAT21XXX;Sparkasse Pottenstein N.Ö.
AT;20246;SPPDAT21XXX;Sparkasse Poysdorf AG
AT;20256;SPSPAT21XXX;SPARKASSE NIEDERÖSTERREICH MITTE WEST AKTIENGESELLSCHAFT
AT;20257;SPSBAT21XXX;Sparkasse Scheibbs AG
AT;20263;SPZWAT21XXX;Waldviertler Sparkasse Bank AG
AT;20267;WINSATWNXXX;Wiener Neustädter Sparkasse
AT;20272;SPZWAT21XXX;Waldviertler Sparkasse Bank AG
AT;20306;SPFRAT21XXX;SPARKASSE FRANKENMARKT AKTIENGESELLSCHAFT
AT;20314;SKBIAT21XXX;Sparkasse Salzkammergut AG
AT;20317;SPLAAT21XXX;Sparkasse Lambach Bank Aktiengesellschaft
AT;20320;ASPKAT2LXXX;Sparkasse Oberösterreich Bank AG
AT;20326;SPNKAT21XXX;Sparkasse Neuhofen Bank Aktiengesellschaft
AT;20330;SPPBAT21XXX;Sparkasse Eferding-Peuerbach-Waizenkirchen
AT;20331;SPPRAT21XXX;Sparkasse Pregarten - Unterweißenbach AG
AT;20333;SPRHAT21XXX;Sparkasse Ried im Innkreis-Haag am Hausruck
AT;20334;SMWRAT21XXX;Sparkasse Mühlviertel-West Bank Aktiengesellschaft
AT;20402;SPMIAT21XXX;Sparkasse Mittersill Bank AG
AT;20404;SBGSAT2SXXX;Erste Bank der oesterreichischen Sparkassen AG
AT;20502;SPIMAT21XXX;Sparkasse Imst AG
